City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,la reforma,25.0833,-108.05,297.17,75,100,8.89,MX,1699497515
191,vernon,50.2581,-119.2691,278.89,83,27,1.03,CA,1699497529
192,quepos,9.4236,-84.1652,299.43,87,92,1.17,CR,1699497541
193,haiku-pauwela,20.9219,-156.3051,302.16,61,40,3.6,US,1699497555
194,as salamiyah,35.0113,37.0532,289.92,59,2,0.64,SY,1699497570
195,kuching,1.55,110.3333,302.6,84,20,1.03,MY,1699497584
196,hasaki,35.7333,140.8333,293.37,52,23,2.24,JP,1699497559
197,urcos,-13.6861,-71.6228,287.09,78,100,2.31,PE,1699497610
198,punta arenas,-53.15,-70.9167,277.21,70,20,3.09,CL,1699497532
199,chunskiy,56.0815,99.6342,262.0,74,32,1.22,RU,1699497654
200,ust'-barguzin,53.45,108.9833,267.82,73,100,1.99,RU,1699497666
201,xinyi,22.373,110.9475,301.3,69,40,2.88,CN,1699497675
202,amos,48.5669,-78.1162,267.41,84,100,2.94,CA,1699497688
203,dudinka,69.4058,86.1778,267.94,92,100,12.96,RU,1699497698
204,port lincoln,-34.7333,135.8667,293.36,60,4,3.76,AU,1699497709
205,santa ana,33.7456,-117.8678,296.29,21,0,3.58,US,1699497634
206,walvis bay,-22.9575,14.5053,286.68,94,0,5.14,NA,1699497695
207,collie,-33.3667,116.15,289.28,78,100,4.14,AU,1699497739
208,pauini,-7.7136,-66.9764,296.81,85,62,0.75,BR,1699497750
209,cidreira,-30.1811,-50.2056,293.21,86,84,3.89,BR,1699497497
210,geraldton,-28.7667,114.6,296.38,49,100,6.69,AU,1699497730
211,pahrump,36.2083,-115.9839,287.5,20,0,2.68,US,1699497777
212,lompoc,34.6391,-120.4579,289.6,70,0,7.2,US,1699497689
213,vilyuchinsk,52.9306,158.4028,274.3,63,10,6.06,RU,1699497396
214,colonia,50.9333,6.95,284.51,86,75,3.09,DE,1699497682
215,mermoz boabab,14.7065,-17.4758,296.46,57,72,9.14,SN,1699497697
216,floro,61.5996,5.0328,279.13,81,100,9.26,NO,1699497821
217,tuensang,26.2833,94.8333,294.92,58,0,0.78,IN,1699497830
218,bredasdorp,-34.5322,20.0403,284.51,81,0,1.05,ZA,1699497689
219,massenya,11.4039,16.1705,301.88,22,79,3.27,TD,1699497847
220,morehead city,34.7229,-76.726,293.14,88,0,0.0,US,1699497856
221,hafar al-batin,28.4328,45.9708,290.47,42,0,2.06,SA,1699497864
222,marsh harbour,26.5412,-77.0636,298.4,72,31,6.19,BS,1699497872
223,klyuchi,52.2667,79.1667,273.83,52,21,3.56,RU,1699497718
224,niquero,20.0431,-77.5828,298.53,88,5,7.02,CU,1699497888
225,ust-nera,64.5667,143.2,247.43,98,67,1.77,RU,1699497682
226,puerto lempira,15.2667,-83.7667,298.97,87,96,0.86,HN,1699497905
227,rio grande,-32.035,-52.0986,291.45,95,91,4.97,BR,1699497913
228,wynyard,-41.0,145.7167,290.03,71,37,3.37,AU,1699497922
229,rongelap,11.1635,166.8941,300.93,81,49,10.43,MH,1699497695
230,taitung city,22.7583,121.1444,301.3,74,40,1.54,TW,1699497939
231,taroa,8.7058,171.2275,301.18,81,100,10.13,MH,1699497948
232,manturovo,58.3353,44.7619,277.47,94,100,2.6,RU,1699497956
233,angra do heroismo,38.65,-27.2167,292.1,97,75,0.45,PT,1699497965
234,turpan,42.9333,89.1667,284.63,17,46,0.28,CN,1699497973
235,greenville,35.6127,-77.3663,288.24,82,0,1.54,US,1699497835
236,zhangzhou,24.5133,117.6556,299.11,58,62,1.26,CN,1699497991
237,chapaev,50.2,51.1667,280.41,87,100,2.77,KZ,1699497999
238,nuku'alofa,-21.1333,-175.2,298.34,83,100,3.6,TO,1699498009
239,porto santo stefano,42.4338,11.1237,279.94,70,1,3.97,IT,1699498017
240,huarmey,-10.0681,-78.1522,292.31,84,16,3.62,PE,1699498026
241,hami,42.8,93.45,279.69,26,97,1.72,CN,1699497699
242,tralee,52.2704,-9.7026,281.12,76,94,10.29,IE,1699497699
243,grajau,-5.8194,-46.1386,298.36,74,82,1.55,BR,1699498051
244,umluj,25.0213,37.2685,303.01,37,4,3.07,SA,1699498060
245,raja,8.4596,25.678,295.94,82,44,1.54,SS,1699498068
246,tsiombe,-25.3,45.4833,297.47,71,100,1.79,MG,1699497706
247,ribeira grande,38.5167,-28.7,293.02,97,100,4.92,PT,1699497679
248,batesburg-leesville,33.9101,-81.5373,289.9,78,2,3.15,US,1699498093
249,carutapera,-1.195,-46.02,299.25,82,96,3.15,BR,1699497685
250,taro,-8.3862,115.28,299.18,47,99,2.06,ID,1699498110
251,luang namtha,20.9497,101.4011,296.16,94,100,1.03,LA,1699498118
252,nar'yan-mar,67.6713,53.087,273.77,100,100,4.02,RU,1699497755
253,puerto aysen,-45.4,-72.7,279.62,99,88,1.6,CL,1699498134
254,byron bay,-28.65,153.6167,299.1,56,35,4.98,AU,1699498143
